Id;Name;Country;JapName;Adaptability;Photo;Photo_file;EditName;EditCountry;EditPhoto;EditIntern;Value1;Value2;Value3;Value4;Value5;Value6
2;Jorge Fernando Pinheiro de Jesus;228;ジョルジェ ジェズス;118;0;;False;False;False;False;0;0;0;-1;-1;-1
8;Alexandre Torreira da Gama Lima Casado;146;アレシャンドレ ガマ;100;0;;False;False;False;False;0;0;0;-1;-1;-1
23;Serse Cosmi;215;セルセ コズミ;86;0;;False;False;False;False;0;0;0;-1;-1;-1
24;Giuseppe Iachini;215;ジュゼッペ イアキーニ;74;0;;False;False;False;False;0;0;0;-1;-1;-1
28;Eugenio Corini;215;エウジェニオ コリーニ;105;0;;False;False;False;False;0;0;0;-1;-1;-1
29;Vincenzo Montella;215;ヴィンチェンツォ モンテッラ;107;0;;False;False;False;False;0;0;0;-1;-1;-1
30;Gian Piero Gasperini;215;ジャン ピエーロ ガスペリーニ;89;0;;False;False;False;False;0;0;0;-1;-1;-1
33;Pierpaolo Bisoli;215;ピエルパオロ ビゾーリ;100;0;;False;False;False;False;0;0;0;-1;-1;-1
45;Kevin Vincent Muscat;162;ケヴィン マスカット;110;0;;False;False;False;False;0;0;0;-1;-1;-1
55;Sergi Barjuán i Esclusa;236;セルジ バルフアン;105;0;;False;False;False;False;0;0;0;-1;-1;-1
109;Massimo Rastelli;215;マッシモ ラステッリ;90;0;;False;False;False;False;0;0;0;-1;-1;-1
111;Attilio Tesser;215;アッティーリオ テッセル;78;0;;False;False;False;False;0;0;0;-1;-1;-1
113;Marco Baroni;215;マルコ バローニ;85;0;;False;False;False;False;0;0;0;-1;-1;-1
119;Mircea Lucescu;229;ミルチェア ルチェスク;105;0;;False;False;False;False;0;0;0;-1;-1;-1
135;Niko Kovač;200;ニコ コヴァッチ;93;0;;False;False;False;False;0;0;0;-1;-1;-1
138;Pavel Vrba;202;パヴェル ヴルバ;101;0;;False;False;False;False;0;0;0;-1;-1;-1
139;Erik Anders Hamrén;237;エーリク ハムレン;103;0;;False;False;False;False;0;0;0;-1;-1;-1
155;Miguel Ángel Russo;144;ミゲル ルッソ;89;0;;False;False;False;False;0;0;0;-1;-1;-1
160;Facundo Sava;144;ファクンド サバ;89;0;;False;False;False;False;0;0;0;-1;-1;-1
162;Crisitán Andrés Romero Godoy;147;クリスティアン ロメロ;100;0;;False;False;False;False;0;0;0;-1;-1;-1
166;Martín Palermo;144;マルティン パレルモ;80;0;;False;False;False;False;0;0;0;-1;-1;-1
170;Mauricio Andrés Pellegrino Luna;144;マウリシオ ペジェグリーノ;107;0;;False;False;False;False;0;0;0;-1;-1;-1
171;Pedro Antonio Troglio;144;ペドロ トローリオ;70;0;;False;False;False;False;0;0;0;-1;-1;-1
172;Jorge Francisco Almirón Quintana;144;ホルヘ アルミロン;101;0;;False;False;False;False;0;0;0;-1;-1;-1
175;Uwe Rösler;210;ウーヴェ レスラー;86;0;;False;False;False;False;0;0;0;-1;-1;-1
218;Roger Schmidt;210;ロジャー シュミット;110;0;;False;False;False;False;0;0;0;-1;-1;-1
221;Gustavo Augusto 'Gus' Poyet Domínguez;152;グスタボ ポジェト;96;0;;False;False;False;False;0;0;0;-1;-1;-1
249;Sérgio Paulo Marceneiro da Conceição;228;セルジオ コンセイソン;112;0;;False;False;False;False;0;0;0;-1;-1;-1
271;Fatih Terim;190;ファティー テリム;108;0;;False;False;False;False;0;0;0;-1;-1;-1
